,job,age_avg,duration_avg,cust_count
0,admin.,38.08357628765792,256.310009718173,1029
1,blue-collar,39.5456595264938,263.51409244644873,887
2,entrepreneur,42.392857142857146,277.29285714285714,140
3,housemaid,45.643478260869564,260.97391304347826,115
4,management,43.03448275862069,251.03103448275863,290
5,retired,62.82051282051282,265.0833333333333,156
6,self-employed,40.44078947368421,262.4078947368421,152
7,services,37.81679389312977,281.2849872773537,393
8,student,25.74468085106383,262.6914893617021,94
9,technician,38.74748923959828,246.1736011477762,697
10,unemployed,39.90217391304348,282.1847826086956,92
11,unknown,40.03703703703704,253.22222222222223,27
